	gender	gender	age	age	age	age	org	org
	male	female	<=18	19-29	30-39	>=40	non-org	is-org
user_id								
D1165	0.094	0.9059999999999999	0.9318	0.0676	0.0003	0.0004	1.0	0.0
D0605	0.0104	0.9896	0.0301	0.5670000000000001	0.3842	0.0187	1.0	0.0
D0918	0.1297	0.8703	0.1629	0.6944	0.1224	0.0203	0.9998	0.0002
D0687	0.1554	0.8446	0.1929	0.7965	0.0071	0.0034	1.0	0.0
D0585	0.8794	0.1206	0.0088	0.1256	0.7708	0.0948	0.9654	0.0346
D0692	0.040999999999999995	0.9590000000000001	0.6333	0.336	0.0263	0.0044	1.0	0.0
D0723	0.0014	0.9986	0.0	0.0009	0.9982	0.0009	1.0	0.0
D1081	0.0641	0.9359	0.1865	0.5424	0.2697	0.0014	1.0	0.0
D0827	0.0401	0.9599	0.0686	0.9243	0.0057	0.0013	1.0	0.0
D1129	0.8116	0.1884	0.8873	0.1094	0.0026	0.0008	0.9999	0.0001
D0838	0.914	0.086	0.7604	0.1354	0.0668	0.0374	0.9433	0.0567
D1076	0.0027	0.9973	0.1737	0.8111	0.006	0.0092	1.0	0.0
D0968	0.2125	0.7875	0.2115	0.6622	0.109	0.0173	1.0	0.0
D0578	0.9999	0.0001	0.0453	0.1179	0.8112	0.0255	0.9997	0.0003
D0880	0.9997	0.0003	0.0978	0.3115	0.0866	0.5041	0.9485	0.0515
D0852	0.2248	0.7752	0.0036	0.0256	0.0373	0.9336	0.8465	0.1535
D0787	0.0184	0.9816	0.6244	0.3674	0.0071	0.0011	0.9999	0.0001
D1103	0.9959	0.0041	0.4857	0.4212	0.0917	0.0014	1.0	0.0
D1005	0.0063	0.9937	0.0891	0.8772	0.0278	0.0059	1.0	0.0
D0162	0.005	0.995	0.0228	0.2188	0.7278	0.0306	0.9999	0.0001
D0863	0.0012	0.9988	0.0075	0.0702	0.4459	0.4764	0.9999	0.0001
D0758	0.0029	0.9971	0.0097	0.4173	0.5602	0.0129	0.9998	0.0002
D1020	0.0285	0.9715	0.10400000000000001	0.578	0.275	0.043	0.9994	0.0006
D0881	0.0451	0.9549	0.214	0.4544	0.3269	0.0047	1.0	0.0
D0741	0.4815	0.5185	0.0016	0.0069	0.0172	0.9743	0.7474	0.2526
D0570	0.0046	0.9954	0.0017	0.0566	0.9409	0.0008	1.0	0.0
D0984	0.7191	0.2809	0.1746	0.2393	0.0793	0.5067	0.9127	0.0873
D0751	0.5856	0.4144	0.1946	0.745	0.0347	0.0256	0.9999	0.0001
D0475	0.001	0.9990000000000001	0.055	0.9378	0.0059	0.0013	1.0	0.0
D0531	0.9998	0.0002	0.0023	0.0153	0.0528	0.9295	0.9995	0.0005
D0988	0.9141	0.0859	0.8904	0.0982	0.0005	0.0109	1.0	0.0
